Tipo de Coeficiente,Coeficiente,Erro Padrão,AIC,BIC,store_id,Modelo,store_type,store_size,city_code
intercept,6.88932295146847,9.91313812641543,2200.701010623099,2226.714152777095,S0108," ARIMA(3,1,1)(2,0,1)[52] intercept",ST04,35.0,ADAPAZARI
ar.L1,0.07944914797307472,0.14512895864948686,2200.701010623099,2226.714152777095,S0108," ARIMA(3,1,1)(2,0,1)[52] intercept",ST04,35.0,ADAPAZARI
ar.L2,0.13218862234805084,0.14440661921352774,2200.701010623099,2226.714152777095,S0108," ARIMA(3,1,1)(2,0,1)[52] intercept",ST04,35.0,ADAPAZARI
ar.L3,0.2059965120466357,0.13077565619256973,2200.701010623099,2226.714152777095,S0108," ARIMA(3,1,1)(2,0,1)[52] intercept",ST04,35.0,ADAPAZARI
ma.L1,-0.9883824082085115,0.12197463531975906,2200.701010623099,2226.714152777095,S0108," ARIMA(3,1,1)(2,0,1)[52] intercept",ST04,35.0,ADAPAZARI
ar.S.L52,-0.23768641902092857,1.1101024719725507,2200.701010623099,2226.714152777095,S0108," ARIMA(3,1,1)(2,0,1)[52] intercept",ST04,35.0,ADAPAZARI
ar.S.L104,0.4849646648998435,0.171196748085532,2200.701010623099,2226.714152777095,S0108," ARIMA(3,1,1)(2,0,1)[52] intercept",ST04,35.0,ADAPAZARI
ma.S.L52,0.5421716234080252,1.3985758098924481,2200.701010623099,2226.714152777095,S0108," ARIMA(3,1,1)(2,0,1)[52] intercept",ST04,35.0,ADAPAZARI
sigma2,752682.1531742685,0.00032190887616695765,2200.701010623099,2226.714152777095,S0108," ARIMA(3,1,1)(2,0,1)[52] intercept",ST04,35.0,ADAPAZARI
ma.L1,-0.7733909029259658,0.07061059251717405,1576.9481052564297,1582.7288035128731,S0120," ARIMA(0,1,1)(0,0,0)[52]          ",ST03,16.0,ISTANBUL
sigma2,7958.891364837324,878.841374872585,1576.9481052564297,1582.7288035128731,S0120," ARIMA(0,1,1)(0,0,0)[52]          ",ST03,16.0,ISTANBUL
intercept,6.343775797285653,3.290367224486683,1837.082763753583,1848.6441602664702,S0122," ARIMA(0,1,1)(0,0,1)[52] intercept",ST04,23.0,SANLIURFA
ma.L1,-0.8849435086171453,0.03688582886349151,1837.082763753583,1848.6441602664702,S0122," ARIMA(0,1,1)(0,0,1)[52] intercept",ST04,23.0,SANLIURFA
ma.S.L52,0.21502825925559346,0.14174404577035013,1837.082763753583,1848.6441602664702,S0122," ARIMA(0,1,1)(0,0,1)[52] intercept",ST04,23.0,SANLIURFA
sigma2,53237.00507826899,5566.401679716489,1837.082763753583,1848.6441602664702,S0122," ARIMA(0,1,1)(0,0,1)[52] intercept",ST04,23.0,SANLIURFA
ma.L1,-0.5839082762493891,0.05488166463996125,2174.273071157373,2185.83446767026,S0126," ARIMA(0,1,1)(0,0,2)[52]          ",ST04,34.0,ISTANBUL
ma.S.L52,0.23374612729303806,0.11460974965619755,2174.273071157373,2185.83446767026,S0126," ARIMA(0,1,1)(0,0,2)[52]          ",ST04,34.0,ISTANBUL
ma.S.L104,0.3012330157982058,0.2711042535295758,2174.273071157373,2185.83446767026,S0126," ARIMA(0,1,1)(0,0,2)[52]          ",ST04,34.0,ISTANBUL
sigma2,626807.1131537708,90660.90043390817,2174.273071157373,2185.83446767026,S0126," ARIMA(0,1,1)(0,0,2)[52]          ",ST04,34.0,ISTANBUL
ma.L1,-0.8631522250245965,0.041507405063169155,1885.656725756477,1891.4374240129205,S0131," ARIMA(0,1,1)(0,0,0)[52]          ",ST04,22.0,KAYSERI
sigma2,80645.93107565261,6237.354641892169,1885.656725756477,1891.4374240129205,S0131," ARIMA(0,1,1)(0,0,0)[52]          ",ST04,22.0,KAYSERI
ar.L1,-0.6628388549075575,0.22328381604454606,2119.535832429237,2133.9875780703455,S0132," ARIMA(1,1,2)(1,0,0)[52]          ",ST04,31.0,DIYARBAKIR
ma.L1,-0.0898573239394819,0.1948906432823917,2119.535832429237,2133.9875780703455,S0132," ARIMA(1,1,2)(1,0,0)[52]          ",ST04,31.0,DIYARBAKIR
ma.L2,-0.7325595869819209,0.14866789085361917,2119.535832429237,2133.9875780703455,S0132," ARIMA(1,1,2)(1,0,0)[52]          ",ST04,31.0,DIYARBAKIR
ar.S.L52,0.2768331479913709,0.09412504283429862,2119.535832429237,2133.9875780703455,S0132," ARIMA(1,1,2)(1,0,0)[52]          ",ST04,31.0,DIYARBAKIR
sigma2,426955.86138862,34756.75188858022,2119.535832429237,2133.9875780703455,S0132," ARIMA(1,1,2)(1,0,0)[52]          ",ST04,31.0,DIYARBAKIR
ma.L1,-0.8799143124664983,0.04853406752468571,1513.680748599098,1519.4614468555415,S0141," ARIMA(0,1,1)(0,0,0)[52]          ",ST03,12.0,ANTALYA
sigma2,4922.832980127742,527.9210857181977,1513.680748599098,1519.4614468555415,S0141," ARIMA(0,1,1)(0,0,0)[52]          ",ST03,12.0,ANTALYA
ar.L1,0.2461844536969512,0.11684035072447928,2011.8311611998915,2023.3925577127786,S0142," ARIMA(1,1,1)(1,0,0)[52]          ",ST04,31.0,KONYA
ma.L1,-0.9361067662132403,0.049066293274193255,2011.8311611998915,2023.3925577127786,S0142," ARIMA(1,1,1)(1,0,0)[52]          ",ST04,31.0,KONYA
ar.S.L52,0.17857142089716754,0.14729136086619646,2011.8311611998915,2023.3925577127786,S0142," ARIMA(1,1,1)(1,0,0)[52]          ",ST04,31.0,KONYA
sigma2,198987.90404364956,14202.517895442423,2011.8311611998915,2023.3925577127786,S0142," ARIMA(1,1,1)(1,0,0)[52]          ",ST04,31.0,KONYA
