Tipo de Coeficiente;Coeficiente;p_value;inter_conf_inf;inter_conf_sup;AIC;BIC;store_id;Modelo
Verao;28,29070526;0,588203301;-74,11881105;130,7002216;1595,440524;1630,124714;S0120; ARIMA(0,1,1)(0,0,0)[52]          
Outono;3,302157957;0,93608997;-77,41238312;84,01669903;1595,440524;1630,124714;S0120; ARIMA(0,1,1)(0,0,0)[52]          
Feriados;-8,092277313;0,645781533;-42,59950753;26,4149529;1595,440524;1630,124714;S0120; ARIMA(0,1,1)(0,0,0)[52]          
ma.L1;-0,738509106;1,54E-20;-0,894310915;-0,582707297;1595,440524;1630,124714;S0120; ARIMA(0,1,1)(0,0,0)[52]          
sigma2;7801,380099;2,79E-18;6047,798317;9554,961881;1595,440524;1630,124714;S0120; ARIMA(0,1,1)(0,0,0)[52]          
stock_inicial;-0,036392028;0,79279579;-0,307926041;0,235141986;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
Probin1_very_low;1,923465029;0,042736969;0,062943297;3,78398676;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
Probin1_low;-1,754537206;0,317041498;-5,191455918;1,682381506;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
Probin1_moderate;3,729316305;0,054800008;-0,076715216;7,535347826;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
Probin1_high;-4,73129581;0,061467533;-9,689898936;0,227307316;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
Probin1_very_high;6,969478888;0,016264469;1,284773509;12,65418427;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
Primavera;-51,63510019;0,031640156;-98,72972854;-4,540471844;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
Verao;-103,7015659;0,000361801;-160,6908143;-46,71231758;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
Outono;-29,18159296;0,286282648;-82,81962174;24,45643583;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
Feriados;-14,65213693;0,398820523;-48,68870585;19,38443199;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
ar.L1;-0,819341468;1,91E-13;-1,037678627;-0,601004308;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
ar.L2;-0,046531818;0,753346505;-0,336767449;0,243703814;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
ar.L3;-0,205060194;0,049175209;-0,409379672;-0,000740717;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
ma.L1;0,016242243;0,848663339;-0,150582577;0,183067062;1596,947387;1643,192973;S0077; ARIMA(3,1,2)(0,0,0)[52]          
