Tipo de Coeficiente;Coeficiente;Erro Padrão;AIC;BIC;store_id;Modelo;store_type;store_size;city_code
ma.S.L52;0,214804639;0,139803507;1849,917463;1861,508822;S0122; ARIMA(0,1,1)(0,0,1)[52] intercept;ST04;23;SANLIURFA
sigma2;52874,65267;5481,83399;1849,917463;1861,508822;S0122; ARIMA(0,1,1)(0,0,1)[52] intercept;ST04;23;SANLIURFA
ma.L1;-0,585347443;0,054433254;2189,538207;2201,129567;S0126; ARIMA(0,1,1)(0,0,2)[52]          ;ST04;34;ISTANBUL
ma.S.L52;0,23383918;0,113810434;2189,538207;2201,129567;S0126; ARIMA(0,1,1)(0,0,2)[52]          ;ST04;34;ISTANBUL
ma.S.L104;0,304375217;0,269511609;2189,538207;2201,129567;S0126; ARIMA(0,1,1)(0,0,2)[52]          ;ST04;34;ISTANBUL
sigma2;621519,5683;90019,54304;2189,538207;2201,129567;S0126; ARIMA(0,1,1)(0,0,2)[52]          ;ST04;34;ISTANBUL
ma.L1;-0,862771073;0,042394778;1902,460293;1908,255972;S0131; ARIMA(0,1,1)(0,0,0)[52]          ;ST04;22;KAYSERI
sigma2;82271,93586;6456,579934;1902,460293;1908,255972;S0131; ARIMA(0,1,1)(0,0,0)[52]          ;ST04;22;KAYSERI
ar.L1;-0,664825277;0,2258541;2134,513513;2149,002712;S0132; ARIMA(1,1,2)(1,0,0)[52]          ;ST04;31;DIYARBAKIR
ma.L1;-0,090521074;0,197929364;2134,513513;2149,002712;S0132; ARIMA(1,1,2)(1,0,0)[52]          ;ST04;31;DIYARBAKIR
ma.L2;-0,731196989;0,151587709;2134,513513;2149,002712;S0132; ARIMA(1,1,2)(1,0,0)[52]          ;ST04;31;DIYARBAKIR
ar.S.L52;0,274539705;0,093465605;2134,513513;2149,002712;S0132; ARIMA(1,1,2)(1,0,0)[52]          ;ST04;31;DIYARBAKIR
sigma2;423576,6626;34159,07059;2134,513513;2149,002712;S0132; ARIMA(1,1,2)(1,0,0)[52]          ;ST04;31;DIYARBAKIR
ma.L1;-0,876180195;0,052826085;1532,885725;1538,681404;S0141; ARIMA(0,1,1)(0,0,0)[52]          ;ST03;12;ANTALYA
sigma2;5221,736927;549,7565931;1532,885725;1538,681404;S0141; ARIMA(0,1,1)(0,0,0)[52]          ;ST03;12;ANTALYA
ar.L1;0,24714676;0,116009798;2025,908208;2037,499567;S0142; ARIMA(1,1,1)(1,0,0)[52]          ;ST04;31;KONYA
ma.L1;-0,936002921;0,048903436;2025,908208;2037,499567;S0142; ARIMA(1,1,1)(1,0,0)[52]          ;ST04;31;KONYA
ar.S.L52;0,180022782;0,145384775;2025,908208;2037,499567;S0142; ARIMA(1,1,1)(1,0,0)[52]          ;ST04;31;KONYA
sigma2;197524,6301;14008,4989;2025,908208;2037,499567;S0142; ARIMA(1,1,1)(1,0,0)[52]          ;ST04;31;KONYA
ma.L1;-0,859213974;0,04967056;1615,608804;1621,404484;S0143; ARIMA(0,1,1)(0,0,0)[52]          ;ST03;13;ISTANBUL
sigma2;9690,131021;537,1244495;1615,608804;1621,404484;S0143; ARIMA(0,1,1)(0,0,0)[52]          ;ST03;13;ISTANBUL
intercept;13,45876331;11,17701127;1348,819697;1367,529499;S0136; ARIMA(4,0,1)(0,0,0)[52] intercept;ST03;12;ANTALYA
ar.L1;1,196816206;0,285561762;1348,819697;1367,529499;S0136; ARIMA(4,0,1)(0,0,0)[52] intercept;ST03;12;ANTALYA
ar.L2;0,150582673;0,240858151;1348,819697;1367,529499;S0136; ARIMA(4,0,1)(0,0,0)[52] intercept;ST03;12;ANTALYA
ar.L3;-0,273058972;0,155341424;1348,819697;1367,529499;S0136; ARIMA(4,0,1)(0,0,0)[52] intercept;ST03;12;ANTALYA
ar.L4;-0,145708143;0,111290167;1348,819697;1367,529499;S0136; ARIMA(4,0,1)(0,0,0)[52] intercept;ST03;12;ANTALYA
ma.L1;-0,607370959;0,302171003;1348,819697;1367,529499;S0136; ARIMA(4,0,1)(0,0,0)[52] intercept;ST03;12;ANTALYA
sigma2;14966,31868;1984,148007;1348,819697;1367,529499;S0136; ARIMA(4,0,1)(0,0,0)[52] intercept;ST03;12;ANTALYA
