Tipo de Coeficiente,Coeficiente,p_value,inter_conf_inf,inter_conf_sup,AIC,BIC,store_id,Modelo,store_type,store_size,city_code
Verao,68.79088509607371,0.612777885598357,-197.6078638470715,335.18963403921896,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
Outono,56.93339948726926,0.5850213357815046,-147.41486636808514,261.2816653426237,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
Feriados,21.171095668306666,0.6520317744652087,-70.84658949265473,113.18878082926805,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
ar.L1,0.30984878217929185,0.002409892234219573,0.10971495457756084,0.5099826097810228,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
ar.L2,0.133438129857916,0.1917526550392259,-0.06690778727704799,0.33378404699288,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
ar.L3,0.2419520214958042,0.041851624509774324,0.008920577459895357,0.474983465531713,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
ma.S.L52,0.2724860757106649,0.01048410323920707,0.06382209048364634,0.4811500609376835,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
sigma2,38403.87497491984,4.773409635440789e-11,26960.871539835538,49846.87841000414,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
intercept,7.333614496122238,0.6161159634947858,-21.335497621370717,36.002726613615195,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
stock_inicial,0.007431994682093596,0.9638441054453915,-0.31390869283783307,0.32877268220202027,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
Probin1_very_low,1.507262240223439,0.0903217524800572,-0.23695139967051837,3.2514758801173964,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
Probin1_low,-0.9969447724297748,0.586106253271822,-4.585598175786069,2.59170863092652,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
Probin1_moderate,5.071770943094776,0.011755442339536099,1.126196101438878,9.017345784750674,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
Probin1_high,-4.575695892659794,0.0801103348739718,-9.70024571392324,0.548853928603652,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
Probin1_very_high,5.99846160521905,0.04842381408848389,0.04153559632549353,11.955387614112606,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
Probin2_very_low,-1.6674195638243589e-15,0.9999659862218517,-7.666331883132667e-11,7.665998399219902e-11,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
Probin2_high,3.043803652283551e-14,,,,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
